path_1_bw,delay_1,loss_1,path_2_bw,delay_2,loss_2,split_ratio,transfer_time,variance
1.0,50,0.0,1.0,50,0.0,1.0,5.0261499,0.00043024663832222436
1.0,50,0.0,1.0,50,0.0,0.25,5.056461199999999,0.006269766983066688
3.0,30,0.0,5.0,70,1.0,1.0,1.7198497000000004,0.00876548712134445
1.0,50,0.0,2.0,50,0.0,0.4286,5.014651300000001,0.0004064504255666685
1.0,50,0.0,2.0,50,0.0,0.11,5.023644299999999,0.0003838330329000029
1.0,50,0.0,1.0,50,0.0,2.33,7.6537228,0.004530103911288902
1.0,50,0.0,2.0,50,0.0,0,5.010548900000002,0.0005398641467666639
1.0,50,0.0,2.0,50,0.0,1.0,5.0113423,0.0005197966940111117
1.0,50,0.0,1.0,50,0.0,0.4286,5.043987400000001,0.002893567611155547
3.0,30,0.0,5.0,70,1.0,0.11,1.7045476000000002,0.0010199588691555555
3.0,30,0.0,5.0,70,1.0,0.4286,1.8332621999999996,0.05098639409528891
1.0,50,0.0,1.0,50,0.0,0.667,5.0382596,0.0019258509069333257
1.0,50,0.0,1.0,50,0.0,9.0,9.315536500000002,0.025249667990944413
3.0,30,0.0,5.0,70,1.0,9.0,3.0139278000000003,0.011504465086400009
1.0,50,0.0,1.0,50,0.0,0,5.038801100000001,0.0013535858687666708
1.0,50,0.0,1.0,50,0.0,0.11,5.0190247,0.0002869978553444488
1.0,50,0.0,2.0,50,0.0,2.33,7.7328852999999995,0.01239975224312221
3.0,30,0.0,5.0,70,1.0,1.5,2.1873858000000004,0.003903606201066659
1.0,50,0.0,1.0,50,0.0,1.5,6.765805,0.0002376937693333357
1.0,50,0.0,2.0,50,0.0,4.0,8.2359082,0.009439890433733339
1.0,50,0.0,2.0,50,0.0,0.25,5.029075200000001,0.0004380665752888899
1.0,50,0.0,2.0,50,0.0,0.667,5.015985000000001,0.0005045713166666711
3.0,30,0.0,5.0,70,1.0,0,1.9696226000000003,0.28191409269071116
3.0,30,0.0,5.0,70,1.0,0.25,1.7713715000000003,0.05527948904205557
1.0,50,0.0,2.0,50,0.0,9.0,9.349449199999999,0.029294450821511175
1.0,50,0.0,1.0,50,0.0,4.0,8.207271599999999,0.008583528781155548
3.0,30,0.0,5.0,70,1.0,4.0,2.597848,0.004755395251999995
1.0,50,0.0,2.0,50,0.0,1.5,6.7793752,0.00031815474284444494
3.0,30,0.0,5.0,70,1.0,0.667,1.8606231999999998,0.22114728803995562
3.0,30,0.0,5.0,70,1.0,2.33,2.4980699,0.00247611534076667
